sample	condition
RPS27A_1    RPS27A
RPS27A_2    RPS27A
RPS27A_3    RPS27A
RPS27AP5_1    RPS27AP5
RPS27AP5_2    RPS27AP5
RPS27AP5_3    RPS27AP5
Control_1    Control
Control_2    Control
Control_3    Control
